date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-10-27,2019,0,0,ATL,SEA,1417.50725998291,1558.69853950601,0.3920764563229889,20,27,0
2019-10-27,2019,0,0,SF,CAR,1583.95061959001,1561.56445771134,0.6231723451884565,51,13,1
2019-10-27,2019,0,0,HOU,OAK,1553.32261175079,1437.4054265576,0.7391283445296655,27,24,1
2019-10-27,2019,0,0,NE,CLE,1720.08737228854,1450.35989103635,0.8728999387381564,27,13,1
2019-10-27,2019,0,0,KC,GB,1625.31713865551,1555.82299558307,0.6844310096627424,24,31,0
2019-10-28,2019,0,0,PIT,MIA,1547.29016628781,1325.97023875445,0.8386462726501114,27,14,1
2019-10-31,2019,0,0,ARI,SF,1382.39704596737,1610.5064238178,0.28111591089135607,,,
2019-11-03,2019,1,0,JAX,HOU,1479.23149163593,1560.0059083883,0.38580630021157425,,,
2019-11-03,2019,0,0,KC,MIN,1594.99899269535,1618.16460424209,0.5599152468158894,,,
2019-11-03,2019,0,0,BUF,WSH,1485.36405116043,1348.28115389261,0.7619286807502131,,,
2019-11-03,2019,0,0,MIA,NYJ,1318.43454062777,1326.87894194667,0.5806787136652244,,,
2019-11-03,2019,0,0,CAR,TEN,1535.00865348355,1505.88064622587,0.6322413598402246,,,
2019-11-03,2019,0,0,PHI,CHI,1564.1724980887,1544.53753363763,0.6194461353785632,,,
2019-11-03,2019,0,0,PIT,IND,1554.82586441449,1586.40610460413,0.5479471150645824,,,
2019-11-03,2019,0,0,OAK,DET,1430.72212992009,1491.54299004694,0.5060139756910399,,,
2019-11-03,2019,0,0,SEA,TB,1574.45872778087,1444.23443988596,0.7546931445963736,,,
2019-11-03,2019,0,0,LAC,GB,1506.01443841784,1586.14114154323,0.4782446688171065,,,
2019-11-03,2019,0,0,DEN,CLE,1432.87922009863,1444.38508413649,0.5763816265461266,,,
2019-11-03,2019,0,0,BAL,NE,1602.36514160415,1726.0621791884,0.41632276598683593,,,
2019-11-04,2019,0,0,NYG,DAL,1363.76637613557,1559.38793976186,0.3204034864220307,,,
2019-11-07,2019,0,0,OAK,LAC,1430.72212992009,1506.01443841784,0.4851925086610809,,,
2019-11-10,2019,0,0,TB,ARI,1444.23443988596,1382.39704596737,0.6748348377155504,,,
2019-11-10,2019,0,0,TEN,KC,1505.88064622587,1594.99899269535,0.4653465551130869,,,
2019-11-10,2019,0,0,CIN,BAL,1313.38084196567,1602.36514160415,0.2159616188133972,,,
2019-11-10,2019,0,0,CLE,BUF,1444.38508413649,1485.36405116043,0.5345140695106623,,,
2019-11-10,2019,0,0,CHI,DET,1544.53753363763,1491.54299004694,0.6635670860120174,,,
2019-11-10,2019,0,0,NO,ATL,1677.66877619932,1401.74707170805,0.8768035886005144,,,
2019-11-10,2019,0,0,NYJ,NYG,1326.87894194667,1363.76637613557,0.5403691717572365,,,
2019-11-10,2019,0,0,IND,MIA,1586.40610460413,1318.43454062777,0.8717742811409475,,,
2019-11-10,2019,0,0,GB,CAR,1586.14114154323,1535.00865348355,0.6611699671475637,,,
2019-11-10,2019,0,0,PIT,LAR,1554.82586441449,1589.8549233214,0.5430249828461623,,,
2019-11-10,2019,0,0,DAL,MIN,1559.38793976186,1618.16460424209,0.5089551420251536,,,
2019-11-11,2019,0,0,SF,SEA,1610.5064238178,1574.45872778087,0.6414532608354427,,,
2019-11-14,2019,0,0,CLE,PIT,1444.38508413649,1554.82586441449,0.4349758016036587,,,
2019-11-17,2019,0,0,IND,JAX,1586.40610460413,1479.23149163593,0.7293084435683591,,,
2019-11-17,2019,0,0,BAL,HOU,1602.36514160415,1560.0059083883,0.6497656881011269,,,
2019-11-17,2019,0,0,DET,DAL,1491.54299004694,1559.38793976186,0.49590587975112727,,,
2019-11-17,2019,0,0,TB,NO,1444.23443988596,1677.66877619932,0.2749630328974227,,,
2019-11-17,2019,0,0,WSH,NYJ,1348.28115389261,1326.87894194667,0.621841334417741,,,
2019-11-17,2019,0,0,MIN,DEN,1618.16460424209,1432.87922009863,0.8085720799088367,,,
2019-11-17,2019,0,0,CAR,ATL,1535.00865348355,1401.74707170805,0.757915563058628,,,
2019-11-17,2019,0,0,MIA,BUF,1318.43454062777,1485.36405116043,0.35738011473463804,,,
2019-11-17,2019,0,0,SF,ARI,1610.5064238178,1382.39704596737,0.8438652237991627,,,
2019-11-17,2019,0,0,PHI,NE,1564.1724980887,1726.0621791884,0.3640701155616263,,,
2019-11-17,2019,0,0,OAK,CIN,1430.72212992009,1313.38084196567,0.7407059224702898,,,
2019-11-17,2019,0,0,LAR,CHI,1589.8549233214,1544.53753363763,0.6536309210291085,,,
2019-11-18,2019,1,0,LAC,KC,1506.01443841784,1594.99899269535,0.3746694380229393,,,
2019-11-21,2019,0,0,HOU,IND,1560.0059083883,1586.40610460413,0.5553221558229244,,,
2019-11-24,2019,0,0,WSH,DET,1348.28115389261,1491.54299004694,0.38923919650420263,,,
2019-11-24,2019,0,0,NYJ,OAK,1326.87894194667,1430.72212992009,0.4443319009591142,,,
2019-11-24,2019,0,0,CHI,NYG,1544.53753363763,1363.76637613557,0.804517602444342,,,
2019-11-24,2019,0,0,CLE,MIA,1444.38508413649,1318.43454062777,0.7501101210982613,,,
2019-11-24,2019,0,0,ATL,TB,1401.74707170805,1444.23443988596,0.5323530151276519,,,
2019-11-24,2019,0,0,NO,CAR,1677.66877619932,1535.00865348355,0.7677032752051891,,,
2019-11-24,2019,0,0,CIN,PIT,1313.38084196567,1554.82586441449,0.26586599116749926,,,
2019-11-24,2019,0,0,BUF,DEN,1485.36405116043,1432.87922009863,0.6629117372424522,,,
2019-11-24,2019,0,0,TEN,JAX,1505.88064622587,1479.23149163593,0.6289173285096025,,,
2019-11-24,2019,0,0,SF,GB,1610.5064238178,1586.14114154323,0.6258439065623042,,,
2019-11-24,2019,0,0,NE,DAL,1726.0621791884,1559.38793976186,0.7914394757513807,,,
2019-11-24,2019,0,0,PHI,SEA,1564.1724980887,1574.45872778087,0.578094935344734,,,
2019-11-25,2019,0,0,LAR,BAL,1589.8549233214,1602.36514160415,0.5749693551891452,,,
2019-11-28,2019,0,0,DET,CHI,1491.54299004694,1544.53753363763,0.5172703674724337,,,
2019-11-28,2019,0,0,DAL,BUF,1559.38793976186,1485.36405116043,0.6900356203985812,,,
2019-11-28,2019,0,0,ATL,NO,1401.74707170805,1677.66877619932,0.22896529717024497,,,
2019-12-01,2019,0,0,BAL,SF,1602.36514160415,1610.5064238178,0.5811035196036238,,,
2019-12-01,2019,0,0,JAX,TB,1479.23149163593,1444.23443988596,0.6400610898709188,,,
2019-12-01,2019,0,0,IND,TEN,1586.40610460413,1505.88064622587,0.6979830922891428,,,
2019-12-01,2019,0,0,MIA,PHI,1318.43454062777,1564.1724980887,0.26107063792280866,,,
2019-12-01,2019,0,0,CAR,WSH,1535.00865348355,1348.28115389261,0.8098537203160234,,,
2019-12-01,2019,0,0,CIN,NYJ,1313.38084196567,1326.87894194667,0.5735790517409396,,,
2019-12-01,2019,0,0,KC,OAK,1594.99899269535,1430.72212992009,0.7891523759611835,,,
2019-12-01,2019,0,0,NYG,GB,1363.76637613557,1586.14114154323,0.2878350522190582,,,
2019-12-01,2019,0,0,ARI,LAR,1382.39704596737,1589.8549233214,0.3057523115243845,,,
2019-12-01,2019,0,0,PIT,CLE,1554.82586441449,1444.38508413649,0.7330041627409914,,,
2019-12-01,2019,0,0,DEN,LAC,1432.87922009863,1506.01443841784,0.4882946188665318,,,
2019-12-01,2019,0,0,HOU,NE,1560.0059083883,1726.0621791884,0.3585353868192358,,,
2019-12-02,2019,0,0,SEA,MIN,1574.45872778087,1618.16460424209,0.5306063935296504,,,
2019-12-05,2019,0,0,CHI,DAL,1544.53753363763,1559.38793976186,0.5716739895319242,,,
2019-12-08,2019,0,0,CLE,CIN,1444.38508413649,1313.38084196567,0.7555233926449179,,,
2019-12-08,2019,0,0,NO,SF,1677.66877619932,1610.5064238178,0.6815247180250803,,,
2019-12-08,2019,0,0,TB,IND,1444.23443988596,1586.40610460413,0.39073212418556036,,,
2019-12-08,2019,0,0,BUF,BAL,1485.36405116043,1602.36514160415,0.4257182617057293,,,
2019-12-08,2019,0,0,NYJ,MIA,1326.87894194667,1318.43454062777,0.6041482779184022,,,
